name,description,founded,address,industries,categories,image
"Adoroi","AdoRoi is a solution to advertisers for measuring the ROI of all media types on a single platform which makes performance of conventional ads comparable to performance of online ads in real time.

They provide innovative solutions for measuring marketing performance on online as well as offline communication media.

Adoroi  uses MobileWeb Convergence platform, using dynamic web data compaction, optimization and simultaneous delivery of geo-consumer centric data over multi-modal platforms such as Mobile SMS, IVR , DTH, USSD, GPRS-WEB, etc.

AdoRoi is a complete end-to-end C2B2B marketing solution. AdoRoi can be used across several industries by the sales and marketing heads to optimize marketing spends at the same time generate higher ROI across media.","January 2007","NetPrice Services Pvt Ltd, Bhuleswar,Charni Road, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/adoroi.png"
"Affinity.com","Founded in 2006, Affinity.com is the world's leading contextual ad network. We build innovative contextual advertising, media, and monetization solutions for Advertisers & Publishers.Our advertising, media, and monetization solutions are delivered via Affinity.com's Global Pay-Per-Click (PPC) & Display Advertising Networks. Both these networks help 100,000+ Advertisers reach out to their target audience by delivering over 50 Billion ad impressions each month. This is achieved through exclusive contextual ad distribution via Affinity.com's network of 50,000+ Premium Publishers, and Syndication Channels from across North America, Western Europe, Middle East, India, South-East Asia & Australia.","January 2006","100 N Riverside Plaza, Chicago, IL","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/affinity-com.png"
"AgencyDigi","We believe everything is, if not, will be digital. AgencyDigi creates ideas, solutions, conversations, stories, promos, stunts, innovations, platforms and products to help brands communicate, survive and thrive in a digital world. 

AgencyDigi is based across Mumbai, Hyderabad and Delhi in India.","May 2010","130, F Wing, Kamlesh Bldg, Sher E Punjab, Andheri East, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/agencydigi.png"
"Agrocom Software Technologies Ltd.","The name Agrocom reflects our focus on developing Knowledge Products for the people who work in Agri and Allied areas in India; the acronym stands for AGRO COMmunities.

The business services farmers with relevant information sent over phones. Proprietary ICT technologies help us ?tele-service? farmers from over 450 districts in India.

A single comprehensive Data center that analyzes data feeds and agricultural knowledge across India to provide relevant information to a random farmer in the Indian population (150 Mn farmers) - across crops/animals, locations, languages, agro-climatic zones, seasons, land-holding sizes, credit limits, education levels (or Socio-Economic Classification).

Agrocom?s products are highly Informative, Relevant, Affordable and Available. Farmers who use Agrocom?s service are more competitive than others and reduce agricultural wastage by 30%.

Agrocom is an Agri-Informatics Tech Company focused on India. Agrocom?s vision is to service 25 Million farmers using our phone information services twice a day by 2017.","","A 404 Kailash Complex, Vikhroli Park Site, Nr Hiranandani Gardens, Powai, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/agrocom-software-technologies-ltd.png"
"Allerin","Social Media Application for Medical Practitioners
An innovative recipe search engine that makes finding recipes easy. RecipePro  simplifies your recipe search on web and Mobile, by showing what you can make with any ingredients you like. Save money by using the ingredients you already have and save time by searching in one place. It is currently available on web and iOS devices and under developement for other Mobile devices. Beta version is ready and planning to launch complete by project by end of 2013 or Early 2014.","October 2004","401 Chawla Complex, Sector 15, CBD Belapur, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/allerin-tech-pvt-ltd.png"
"Allied Digital Services","Allied Digital Services Limited operates as an information technology (IT) infrastructure management and technical support services outsourcing company in India and internationally. The company?s solutions and services include infrastructure management services, remote management services, technical business process outsourcing services, networking and communication solutions, and enterprise computing solutions, as well as integrated solutions, such as intelligent building management and integrated physical security solutions. It offers outsourced technical support services for business-to-business, business-to-consumer, e-commerce, and corporate internal environments. The company serves manufacturing, banking/finance/insurance, services, energy power, government, retail, telecom, IT enabled services/software development/business process outsourcing, and retail industries. It has strategic alliances with IBM; Microsoft Corporation; Intel Corporation; Unisys; NIIT Technologies; HP; Cisco Systems, Inc.; Stonesoft Corporation; Resilience; Nortel Networks; Novell, Inc.; EMC Corporation; LANDesk; Fujitsu Siemens Computers; Digicomp Complete Solutions Limited; and En Pointe Global Services, LLC. Allied Digital Services is headquartered in Mumbai, India.","","Maharishi Karve Marg, 2rd Floor,, Kimatrai Building, Marine Lines,, Mumbai, Maharashtra, IND","Internet","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/allied-digital-services.png"
"Analyticsworks","Analyticsworks is an expert in implementing BI solution right from identifying business KPI’s to delivery of fully loaded web based Reporting and Analytical application with capabilities of personalized dashboard, olap report, alerts and desktop ticker.","May 2006","State Bank Road, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/analyticsworks.png"
"Anavaran Investment","Anavaran Investments is an independent investment research company based in Mumbai, India. The company provides fundamental investment research services to individual investors. Our aim is to provide cost effective quality equity research to retail investors and help them generate long term sustainable returns on their investments. Our team consists of experienced analysts who specialize in finding value picks-fundamentally strong companies trading at steep discounts to their inherent strengths.

Our subscription packages have been designed keeping in mind diverse investor profile available in the market thus providing wide range of options to our prospective clients. We communicate our stock ratings through SMS, online Chat, email and newsletters. Historical returns generated by our analyst’s stock ratings have surpassed benchmark indices by a wide margin. Please refer our past track over here. To resist the temptation of painting the bull’s eye around the arrow of performance, all our research reports with investment rationale are available in public domain from 12 months of their issue.","","Floor 9 Platina, Bandra Kurla Complex, Mumbai, Maharashtra, IND","Gaming","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/anavaran-investment.png"
"Olacabs","Olacabs, founded in January 2011 by two IIT Bombay alumni Bhavish Aggarwal and Ankit Bhati is Indias first aggregator of car rentals and point-to-point cab services. Olacabs integrates car transportation, be it point-to-point services within a city, hour-based rental services or outstation travel, onto a technology platform, ensuring convenient, transparent and quick service fulfillment for the customer. Customers can access Olacabs, on the web, through a mobile app or through a customer service centre. Currently, Ola offers services across Mumbai, Delhi NCR, Pune and Bangalore. Olacabs does not own or operate its own fleet, but aggregates small fleet operators and single vehicle owners. The inventory utilisation among small cab operators (ownership of 1-3 cabs) in India is an abysmal 40-50%. Cab owners benefit from the Olacabs network and technology platform and that in turn helps them procure customers and enhance their income through better inventory utilisation. In Mumbai, inventory utilisation levels have gone up to 70% for cars that are on the Olacabs platform.Olacabs is the first service to offer Android, iPhone and Web app in India that not only books a cab, but also helps customers track their cab on their mobile phone until it reaches them. Olacabs also has an app for drivers that acts as an in-car navigation and communication device. Olacabs also conducts regular car audits, driver training & sensitization sessions and to ensure standardized service delivery and customer comfort.","December 2010","406, Pluto, Suncity Complex, Powai, Mumbai, Maharashtra, IND","Gaming","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/ani-technologies.png"
"Antfort People Technologies","Antfort People Technologies is an HR / recruiting solutions company mainly focused on startups.","","Marol Maroshi Road, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/antfort-people-technologies.png"
"Aranca","Aranca is a leading provider of customized investment research, business research, intellectual property research and valuation services to global clients. With a unique blend of deep market knowledge, strong research capabilities and an ability to provide actionable insights that facilitate decision making, we provide cost-effective yet world-class research support.Founded in UK in 2003, Aranca has a global presence including in the US, Europe and Middle East, and a state-of-the-art delivery center in Mumbai, India.","February 2003","Floor 2 & 3, Wing-B, Supreme Business Park, Hiranandani Gardens, Powai, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/aranca.png"
"ATCOMAART","ATCOMAART  - India?s first Industrial and Business Supplies Store dealing in 35 product categories, 41000 products and 5, 10,000 SKUs of industrial products under one roof. We play a significant role in making all the industrial purchases hassle free for the buyers and help suppliers promote their products online.

ATCOMAART! Brings you tremendous value and wealth addition to your business, products and customers.  Our alternative channels of marketing gives you perfect reach to your customers, choice of your products, best available price, quality, and after sales service and increase your brand value continuously. We have already approached more than 2000 costumers and they are the regular visitors and onlookers of our website on daily basis. That?s why that would be beneficial for your company also if your products will be displayed on our web portal. We don?t have any self keen interest from any point of side and we will be greatly obliged for that.

We provide various services to our suppliers as well as buyers. You can say that ATCOMAART is one stop solution for all the industrial needs by offering their customer huge number of products along with category expertise and knowledge.","May 2006","6, Lalwani Industrial Estate,, 14, G.D.Ambedkar Road, Wadala (West),, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/atcomaart.png"
"Atlas Advisory","Atlas Advisory is a Boutique Consulting Firm based out Chennai (India). Atlas was founded in late 2007 by Sam Mehta, Vellesh Narayanan and M.R. Jayaprakash (JP) bringing together established track records of deals of $50k - $30 billion across 6 continents and multiple industries. 

We have a strong pre-filter process and we do detailed due diligence on prospective clients understanding their business models, risks and growth prospects before signing on. We take a ?hands on? approach with our portfolio companies providing strategic and business development guidance, leveraging the operating experience of our team to grow and develop the business. 

Services we offer: 

For PE, VC and Hedge Funds - 



Deal Sourcing 

Due-Diligence 

Fund Placement Advisory 



For Corporate Clients - 



Business Development 

Building Strategic Alliance including Mergers and Acquisitions 

Strategic Consulting and Operations Improvement 

Independent Evaluation of Targets & Valuation Support 

","","D-1, Lotus Colony,, Chamiers Road, Nandanam,, Chennai, Tamil Nadu, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/atlas-advisory.png"
"Auctus Software Pvt. Ltd.","Auctus Software Pvt. Ltd.  is a Mumbai based  Private  Ltd. IT firm . Auctus focuses on web based applications development. Using  technology partners like SUN Microsystems, Microsoft and Open source ; Auctus has is currently providing services in Website Designing  Development.","January 2007","14th Street, MIDC, Andheri east, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/auctus-software-pvt-ltd.png"
"Avenues India","Incorporated in the year 2001, Avenues is a zero-debt company which has been profitable from its inception. Avenues is head quartered in Mumbai, India and has subsidiary companies and offices in USA and Singapore. Avenues has developed several innovative, cutting-edge ASP hosted solutions that are used by thousands of eMerchants globally. Beginning as a single product company that catered to the local market, Avenues has become a multi-product company that operates on a global scale. The Avenues support and development center is based in Mumbai, India. The total strength of the Avenues team is currently 125 persons spanning across all offices. Avenues has three Business Units namely? Avenues Commercial Services, Avenues Travel Industry Services and Avenues Community Related Services. 

AVENUES COMMERCIAL SERVICES:-

Avenues is a leading provider of internet payment processing solutions in South Asia supported by a wide network of financial institution partners, merchant partners and Independent Agents. Avenues is the first Indian 3rd party payment gateway to achieve the Payment Card Industry?s Data Security Standard (PCI-DSS Ver. 2) and is the largest integrated eCommerce solutions provider in South Asia. Avenues has been appointed as a ?Member Service Provider? by MasterCard International in the Indian region. Avenues?s Payment Gateway solution is the only Indian PG solution that has been certified by American Express for processing American Express and JCB cards directly through their Phoenix servers. Serving more than 85% of India’s web merchants and hundreds of resellers across the country, Avenues Commercial Services powers electronic payments and solutions through proven technology and relentless ingenuity in application:

The Avenues Commercial Services are divided into the following two service solutions:- 

CCAvenue, is South Asia?s largest payment gateway solution powering thousands of eMerchants with real time, multi-currency, multiple payment options online payment processing services. The solution is powered by proprietary technology that integrates transaction-processing, advance shopping cart, auction payment collection facility, fraud control, financial reporting and order tracking. CCAvenue is the only complete PG solution in the region that has the unique ability to offer the full spectrum of Internet payment options, including: 

All types of Credit Card processing through Multiple Banks and Card Associations

Debit Card processing

Direct Debit to bank accounts of 30+ Indian Banks, 20+ Chinese Banks and 3 Singapore Banks

Mobile Payment Solutions via PayMate?, SBI Freedom

Cash Card Processing of ITZ Cash?

For more information, visit: www.CCAvenue.com 

TrustAvenue, is an ASP hosted proprietary credit card fraud detection engine that is aimed at helping internet merchants prevent fraud from online card not present transactions. Through its comprehensive fraud screening system, merchants can accurately detect and automatically flag attempted fraud from card not present transactions. It is a transparent and customizable fraud detection solution which combines IP authentication, Bin Number mapping with other order variable checks. TrustAvenue enables merchants to reduce the number of fraudulent orders they process significantly and thereby helping them to avoid chargeback fees and to maintain good standing with the major credit card companies such as MasterCard and Visa. For more information, visit: www.TrustAvenue.com

AVENUES TRAVEL INDUSTRY SERVICES:-

Travel related eCommerce accounts for over 52% of all Internet eCommerce volumes worldwide. For the travel industry, Avenues? solutions are unique in the value that they offer to a wide spectrum of the travel industry. Be it hoteliers, elements in the distribution chain such as travel agents, wholesalers, third party websites or corporations worldwide, each group will find that the Avenues slew of hospitality solutions add immense value to their businesses.

The Avenues Travel Industry Services are divided into the following two service solutions:- 

ResAvenue.com, is a fully hosted, plug-and-play booking engine that integrates directly into the hotel?s branded website, thereby enabling the Hoteliers to save big money on recurring high-end hardware costs, software licenses and expensive technical manpower. It is a cutting edge reservation engine which allows the hotelier to accept reservations in 15 international languages and accept real time payments in multiple currencies. Launched in May 2005, hundreds of hotel properties in the Indian sub-continent are currently using ResAvenue, thereby making it the fastest growing hospitality solution in the region. Through ResAvenue’s partnership with Pegasus, the world?s leading distribution company, hoteliers using the ResAvenue solution can also distribute their inventory into the Global Distribution System like Sabre, Galileo, Amadeus etc, and the Internet Distribution System like Hotels.com, Expedia, Orbitz, Travelocity etc.. ResAvenue also enables the hotelier to make commission payouts to any travel agent through Pegasus?s Global Agent Commission Payment System. ResAvenue also offers Search Engine Optimization and Internet Marketing Services and private label Call Centre services to hoteliers. 

For more information, visit: www.ResAvenue.com 

HotelsAvenue.com, addresses the travel agents, online intermediaries, portals etc. aspirations of having live feeds of instantly ‘bookable room inventory? of over a hundred thousand global hotels on their own websites. HotelsAvenue will also have live feeds of hundreds of hotel properties based in India, Indonesia, Malaysia, UAE and Egypt that are using the Avenues?s ?ResAvenue.com? Solution on their branded website. Working together in tandem, this combination of solutions will create immense value for the travel industry.

For more information, visit: www.HotelsAvenue.com

AVENUES COMMUNITY SERVICES:-

As the world shrinks into a global village, there has been an exponential growth in the ability of the internet to add value to the lives of online communities. To capture the power of the internet and add value to the online communities, Avenues? have launched solutions that add convenience and enrich peoples? lives.

The Avenues Community Related Services are divided into the following two service solutions:- 

EventAvenue? is India’s first and the industry’s leading online registration and payment gateway software that is used by event organisers, corporations, schools, universities, associations, temples, non-profit and government organizations, and more, for conferences, trade shows, sporting events, class admission registrations, donation collection, webinars and other event managements. It is a flexible, affordable, 24-hour online registration and payment collection solution that provides merchants with total data management, control and insight over every aspect of their online registartions that happens on their branded website. More than 500 conferences, exhibitions, webinars, class admission registrations, concerts and sporting events were powered by EventAvenue during the last calendar year making it one of the fastest growing online registration and payment gateway solution in South Asia. 

For more information, visit: www.EventAvenue.com 

MembersAvenue.com, is a hosted membership management solution that provides clubs, gymkhanas, associations, housing societies, cable companies, non-profits, and other organizations with the most comprehensive web based membership management, communication management, and web content management technology available anywhere. MembersAvenue solution helps automate and streamline each part of the membership experience: membership management, dues renewal, event registration, forums, members-only communities and more. MembersAvenue helps in collecting annual, quarterly, monthly or weekly dues of its members online. The specially developed set of tools in MembersAvenue helps in creating recurring charges that automatically bill at intervals and also notifies overdue members of account delinquency by email. MembersAvenue’s Automatic Event Reminders, Newsletters, Notifications, Announcements, Picture Galleries, and Document Libraries, enables effective communication with a membership. MembersAvenue’s solution helps increase member involvement, recruitment, and retention.

For more information, visit: www.MembersAvenue.com","September 2001","Avenues India Pvt Ltd Plaza Asiad, Level II, S.V.Road, Santa Cruz (West),, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/avenues-india.png"
"Baaju","Baaju a location based game for India. Check In at your favorite places and pick up prizes to help you discover your world.Become the BOSS of your locations to reveal the exciting world of being the Baaju BOSS with free rewards, prizes and recognition. ","July 2010","Level 2, Raheja Centre, 294 CST Road, Bandra-Kura Complex, SantaCruz(E), Mumbai, Maharashtra, IND","Computer Software","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/baaju.png"
"Barcode91","Barcode91 is an exclusive shopping destination for Indian Couture, Jewelry and Accessories. We call it (+91), as it?s the country code of India and we offer our club members India inspired brands with the great benefit of up to 70% off with time-limited sales events.","","Snooper Commerce Pvt Ltd  101 Prime Plaza,  S V road,  Santacruz West,, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/barcode91.png"
"BC Web Wise","BC Web Wise is a digital media agency based out of Mumbai offering online media  services such as internet advertising, website design, content management, online research, newsletter email etc.","","Plot No 4, St. Martins Road, Off Turner Road, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/bc-web-wise.png"
"Bear Shop","Find the best prices on web","","603, Agarwal Park, Airoli, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/bear-shop.png"
"Blink Media","Blink is creating a new medium. A medium that lies at the confluence of Retail & Media industries. The team consists of 3 young entrepreneurs from diverse backgrounds of Hardware, Software & Retail. Their ability to articulate user problems, design sophisticated systems around them, and deliver great user experiences sets us apart.

Blink is an intelligent screen on a shopping cart at the supermarket. The screen displays content based on - Shopper Location & Shopper Profile. It brings together the product, prospect and the advertising seconds before the purchase decision, anticipating a user?s preferences and delivers content which is highly relevant to the user through an easy to use touch interface. The content, both organic and sponsored, is seamlessly woven making the medium highly receptive and hence effective.

Think Targetted Advertisement in your Shopping Cart! That’s what Blink Magic is all about.","","215, Krishna Commercial Centre, Udyog Ngr, Goregaon (W), Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/blink-media.png"
"burrp!","burrp! is a social lifestyle portal focused on the Indian metropolitan market. The company focuses on helping their audience make leisure related decisions about “life outside the office.” From local reviews and listings, a social online TV guide, and an online lifestyle magazine, the company has its interests spread across various verticals.  They are funded by the Network18 group, a publicly traded Indian media.","March 2006","P.O. Box No:16489, Mahim, Mumbai, Maharashtra, IND","Internet","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/burrp.png"
"Capillary Technologies","Intelligent Customer Engagement
Capillary is a leading provider of cloud-based software solutions that help businesses to intelligently engage with customers through mobile, social and in-store channels. Capillary powers Customer Engagement, Clienteling, Loyalty and Social CRM solutions for more than 140 major brands across 10,000 stores bringing instant shopper gratification to over 70 million consumers worldwide. Customers include Pizza Hut, Puma, Chicco, Jack Wills, Marks & Spencer, Benetton, Nike and Nokia. .","August 2008","Dubai Internet city, Shaikh Zayed Road, PO Box, 73000, Dubai, Dubai, ARE","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/capillary-technologies-pvt.png"
"chida.in","Chida.in RMS provides remote monitoring of their clients critical IT infrastructure operations.","October 2008","D-803 Royal Classics,, Link Road, Andheri West,, Mumbai, Maharashtra, IND","Internet","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/chida-in.png"
"Cleartrip","Cleartrip.com is the travel site that gives you what you need without any annoying fluff. They are focused on simplicity, comprehensibility, reliability, and responsibility to give you the best travel service. ","July 2006","Lower Parel, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/cleartrip.png"
"Communicate2","Communicate 2 is an offshore search provider and search agency in India.","","202, Sumer Kendra, Pandurang Budhkar Marg, Worli, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/communicate2.png"
"Contests2Win","Contests2Win is an online Indian brand where people can entertain themselves by competing in any of thousands of contests for prizes. 

Contests hosted on c2w include quizzes, polls, hangman and face offs. Consumers can also create their own contests and add questions or comments in existing contests. They can also embed contests in their MySpace pages and blogs.","","42, Film Center,, 4th Floor, 68, Tardeo,, Mumbai, Maharashtra, IND","","Startups","https://s3.amazonaws.com/startupgenome-avatars/organizations/contests2winv.png"
